feature,mean_abs_shap,mean_shap,std_shap,native_importance,rank
REGION_RATING_CLIENT,0.02564341099558961,-0.0036970277977040377,0.04180919072566529,0.5052948625887287,57
inst_PAYMENT_PERC_mean_365D,0.02376470303274877,-0.0021518419063321493,0.025882929043994737,0.42903523548069844,58
prev_PREV_SIMPLE_INTEREST_mean_365D,0.023329330251578795,-0.0007649922518992816,0.02708155907012118,0.4086225626546551,59
EXT_SOURCE_2,0.023139186748880606,-0.00526885613043191,0.03865521829533352,0.7083547898407425,60
inst_DPD_mean_365D,0.022109453440850517,-0.0023682404625429763,0.028568812871375242,0.4578291765624524,61
prev_PREV_SIMPLE_INTEREST_mean,0.02165679880540766,-0.001502313777850952,0.026934574482604917,0.37661154082440756,62
prev_APP_CREDIT_GAP_sum,0.020027062379405443,-0.001834344322708974,0.028988052861625167,0.48982571634507066,63
GOODS_CREDIT_RATIO,0.01963728617138349,-0.0043645262524503944,0.02108271957547628,0.6623760096045279,64
bureau_STATUS_3M_0_prop_mean,0.01944115777670367,-0.000480743080774351,0.027062704981709658,0.24783555152056091,65
bureau_CLOSED_DAYS_CREDIT_mean,0.01899511632266863,-0.0018667654694569538,0.021124529284589216,0.6361267740835249,66
inst_DPD_mean,0.01898736962160451,-0.0032057189950846997,0.021127700198885727,0.3126045640849008,67
bureau_ACTIVE_AMT_CREDIT_SUM_sum,0.018618810761672554,-0.0017196945971674786,0.026032304585981023,0.545593701471554,68
prev_PREV_SIMPLE_INTEREST_mean_730D,0.017928776311960784,-0.0012329915057392301,0.021839935585532474,0.32748395100099925,69
prev_DAYS_DECISION_mean,0.017219688747309114,-0.0019718488483490234,0.02045215735757781,0.4878897550106127,70
YEARS_BEGINEXPLUATATION_AVG,0.017084696822190354,-0.001296978629042409,0.030612445486990776,0.3965048761179598,71
ID_PUBLISH_BIRTH_RATIO,0.0170724010412963,-0.001105940870066823,0.022911509967276443,0.34918756411864293,72
DAYS_LAST_PHONE_CHANGE,0.014796685800457517,-0.0012865897316712673,0.021000858327458738,0.45734830636278606,73
cc_CNT_DRAWINGS_CURRENT_mean,0.01467772812772053,-0.0019860986835436908,0.02451319901787747,0.26289798029208966,74
DAYS_REGISTRATION,0.014431917350330486,-0.0012722670605161673,0.019963583519089532,0.4030683732898445,75
prev_APP_CREDIT_GAP_mean,0.014101156761825984,-0.0020647853146262634,0.0159363741846454,0.20077491926805258,76
bureau_BUREAU_COUNT_730D,0.013479901526718758,-0.0025404088995576507,0.027425139637520874,0.3682677590394068,77
inst_DBD_mean_730D,0.01229999568260529,0.00015955076272498522,0.015113791163946618,0.3162700866812895,78
inst_PAYMENT_DIFF_mean_730D,0.01229120195961965,-0.0008892439187765572,0.03068165329788714,0.34789669735371503,79
inst_PAYMENT_PERC_mean_trend_1000D,0.011997339764342025,-0.000836932413632926,0.015216831801619216,0.2792159136066528,80
inst_PAYMENT_PERC_mean_trend_60D,0.011790648294774771,0.0006344419298521393,0.01700628227167829,0.27733478844586423,81
cc_AMT_DRAWINGS_CURRENT_sum_6M,0.011624651149412565,-0.0022529033816286697,0.020535326723375144,0.356640483425081,82
cc_AMT_TOTAL_RECEIVABLE_mean_3M,0.011547293130504382,-0.0012188382928894693,0.03032983457652637,0.36252855403865963,83
inst_DBD_mean_180D,0.011268304136185939,0.00040644216364441494,0.012958491830651545,0.2590735633564611,84
prev_LAST_3_AMT_CREDIT_mean,0.01116027392691338,-0.0035515877436522736,0.016651789993766895,0.2291787766949271,85
prev_APPROVED_AMT_CREDIT_mean,0.01074637656962381,-0.0008646194001867071,0.01279323900534905,0.19327288649236396,86
bureau_AMT_CREDIT_SUM_DEBT_sum_365D,0.010693666866509998,-0.0003066820926384068,0.014107456333526827,0.24171459084328814,87
inst_DBD_mean_60D,0.010482821504108201,0.0001980267902431278,0.011478098975030306,0.1310082973295127,88
bureau_DEBT_CREDIT_RATIO_mean_1095D,0.009816621626610147,-0.0019279766938781339,0.01156206899777026,0.22253284864891704,89
inst_DPD_max,0.00958400372256007,-0.0009395682718443437,0.011355187866953864,0.1876334695186564,90
pos_LAST_3_CNT_INSTALMENT_mean,0.009400396061176949,-0.0024654422513411935,0.011907505469427633,0.24267358491353358,91
PHONE_CHANGE_BIRTH_RATIO,0.009345045554216754,-0.00021540890654182524,0.015637812239934053,0.2690230003859387,92
prev_LAST_1_PREV_CREDIT_TO_ANNUITY_mean,0.009335478119537138,-0.0007079209828710634,0.016335607915167347,0.16919358823359282,93
prev_PREV_SIMPLE_INTEREST_mean_1000D,0.008974491257138542,0.00010171282683746407,0.01528615118385422,0.22918915837833068,94
prev_AMT_CREDIT_sum,0.00889054560010504,-0.0004235251024432294,0.013536293638719487,0.3048500664252239,95
REGISTRATION_BIRTH_RATIO,0.008826232643884133,-0.0015462340286322852,0.013655458609876303,0.387672692697422,96
prev_APPROVED_PREV_CREDIT_TO_ANNUITY_mean,0.00882050366109186,2.0348211978217622e-05,0.014660169938187565,0.29222075914712725,97
APARTMENTS_AVG,0.008771449504986999,-0.00013379502522986334,0.015377168933124904,0.33050027489106587,98
CREDIT_INCOME_RATIO,0.008512807308909673,-0.0004692118904398679,0.012868503210768007,0.34939377009892014,99
prev_APP_CREDIT_GAP_mean_1000D,0.008009494818196981,-0.00015850450084300762,0.015077099167257788,0.22674174220142504,100
bureau_ACTIVE_DAYS_CREDIT_mean,0.007908366920203759,-0.00038725626295010385,0.011173448380040564,0.3126038973803453,101
bureau_MONTHS_BALANCE_count_mean,0.007809940977772611,-0.0008081734812766136,0.013650826024550493,0.26161006105689216,102
TOTALAREA_MODE,0.0077574411686112755,-0.0009546718313927527,0.012656466079703341,0.24323194334237838,103
EXT_SOURCE_1,0.007573240009329745,-0.0005170958472307582,0.014538920675659064,0.3884913662134854,104
bureau_AMT_CREDIT_SUM_DEBT_sum,0.00744868755750652,-0.0006070502309803507,0.019198355721689212,0.3651676912338937,105
inst_NUM_INSTALMENT_VERSION_nunique,0.007335929876151052,-0.00025846829476856956,0.021392063176690106,0.28575236620922617,106
bureau_DAYS_CREDIT_ENDDATE_mean,0.00718505010664274,0.0016773547123894307,0.01056295455986665,0.4482309068816516,107
prev_LAST_3_PREV_SIMPLE_INTEREST_mean,0.00710758609242088,-8.795852807156665e-05,0.009671729195624616,0.1543011309101048,108
bureau_AMT_CREDIT_SUM_LIMIT_sum,0.007092702651521533,-0.0016068270849363465,0.01880079346727259,0.3555404162518917,109
bureau_DAYS_CREDIT_mean,0.007031350206782032,-0.0006250527141806386,0.007788331851078618,0.17934395767737146,110
prev_APP_CREDIT_GAP_mean_365D,0.006684385936588406,-0.0007376867001537508,0.011684717091518502,0.2194154283006111,111
inst_DBD_max,0.0066468087024668335,-0.0010010697937087691,0.013418678160556944,0.3029514230026606,112
prev_PREV_CREDIT_TO_ANNUITY_mean_730D,0.006645706553411242,-0.00071444264410645,0.012408357399453172,0.20298673952131546,113
LANDAREA_AVG,0.0065454590730894754,-0.00045636785851408356,0.009583797874676094,0.2130546161806391,114
prev_LAST_5_PREV_SIMPLE_INTEREST_mean,0.0064314666021024775,-0.0005885257583976227,0.007884479500614657,0.14284387627771247,115
INCOME_PER_PERSON,0.006431253676580213,-0.0006770424057719181,0.009816504581631224,0.24155826141576417,116
HOUR_APPR_PROCESS_START,0.00640337271996559,-0.0006772349291573859,0.010327276488702231,0.18660130217465165,117
cc_LAST_1_AMT_DRAWINGS_CURRENT_sum,0.0061765727280435395,-0.001579541936438871,0.018452012455281035,0.24149603233048542,118
inst_LAST_1_DBD_mean,0.005998578273401717,-0.00023416582900355278,0.007312367478749307,0.1993844758513564,119
prev_PREV_CREDIT_TO_ANNUITY_mean,0.005976610015847938,0.000715648812537516,0.00922855724699601,0.2347396993827976,120
prev_LAST_1_AMT_CREDIT_mean,0.005930845915701416,-0.00033016375507774855,0.010133466400828725,0.13905847888558642,121
prev_LAST_5_PREV_CREDIT_TO_ANNUITY_mean,0.005921020500683583,-0.0008261138881908778,0.006449924285794647,0.1250447699120742,122
prev_PREV_SIMPLE_INTEREST_mean_180D,0.005457668337759749,-5.820455755250622e-05,0.009994903973538886,0.1894548990592529,123
prev_LAST_3_APP_CREDIT_GAP_mean,0.00519139612147779,-0.0006138245663320539,0.00932920997752754,0.14001518603184152,124
prev_LAST_3_PREV_CREDIT_TO_ANNUITY_mean,0.004932484035359784,-0.00015279771861480943,0.00809689954305953,0.1064470986029697,125
inst_LAST_3_DBD_mean,0.004851337524851879,-0.0006184469450474499,0.007732055206792115,0.17059721910219025,126
bureau_DAYS_CREDIT_min,0.004830868105593281,-0.0006534968912431299,0.011491080738318098,0.2100577058952495,127
