threshold,precision,recall,f1,accuracy
0.81,0.3929744953841339,0.20233635448136958,0.2671311192065307,0.9103739378428739
0.82,0.40471111111111113,0.18340382678751257,0.2524185724185724,0.9122990722283105
0.83,0.41896148765369373,0.16608257804632426,0.2378699590376738,0.9140843742175077
0.84,0.4334430856067733,0.14847935548841892,0.22118875453808995,0.9155900114142258
0.85,0.4472521402927368,0.13047331319234642,0.20201453207347117,0.9167867165727405
0.86,0.46568546386638004,0.11343403826787513,0.1824306815237108,0.9179216353236145
0.87,0.48283433133732534,0.09744209466263846,0.16215853862912685,0.9187118509581771
0.88,0.5017258382642998,0.08197381671701913,0.14092309823067067,0.9193167073698176
0.89,0.52275600505689,0.06662638469284995,0.11818928864911216,0.9197394564747278
0.9,0.539622641509434,0.0518429003021148,0.09459757442116869,0.9198857927033505
0.91,0.5637931034482758,0.03951661631419939,0.07385657820440429,0.9199931059376738
0.92,0.5858585858585859,0.028036253776435045,0.05351170568561873,0.9199345714462247
0.93,0.6039473684210527,0.01848942598187311,0.035880398671096346,0.9197849833014103
0.94,0.6435406698564593,0.010835850956696879,0.021312839202947353,0.9196614104861289
0.95,0.705,0.0056797583081571,0.011268731268731269,0.9195378376708475
0.96,0.7471264367816092,0.0026183282980866062,0.005218368657675016,0.9194110129393746
0.97,0.8181818181818182,0.0007250755287009063,0.0014488670664466535,0.9193167073698176
0.98,0.0,0.0,0.0,0.9192711805431351
0.99,0.0,0.0,0.0,0.9192711805431351
